id_student,code_module,code_presentation,total_assessments_submitted,overall_avg_score,overall_avg_days_late,total_failed_assessments,weighted_avg_score
33796,DDD,2014J,7,63.714285714285715,0.16666666666666666,0,54.775
33897,DDD,2013J,1,50.0,-2.0,0,50.0
33915,FFF,2013B,12,91.5,-50.416666666666664,0,95.75
33930,DDD,2013J,6,81.33333333333333,-5.166666666666667,0,74.98611111111111
34068,CCC,2014J,3,73.33333333333333,4.333333333333333,0,73.44444444444444
34087,DDD,2013J,3,84.66666666666667,1.6666666666666667,0,84.25
34229,BBB,2013B,9,88.0,5.333333333333333,0,80.33333333333333
34293,FFF,2014B,2,74.0,-3.0,0,74.0
34353,BBB,2013B,10,90.6,2.0,0,80.15853658536585
34431,BBB,2013B,1,80.0,6.0,0,80.0
34653,DDD,2013J,3,49.0,-4.666666666666667,1,48.2
34662,BBB,2014J,2,34.5,-4.5,1,68.0
34731,FFF,2013J,3,75.66666666666667,-73.66666666666667,0,74.0
34756,BBB,2013B,3,67.33333333333333,2.0,0,56.375
34863,BBB,2013B,11,73.9090909090909,2.5454545454545454,0,63.22
35001,GGG,2013J,2,75.0,-0.5,0,
35340,EEE,2014B,4,79.75,0.0,0,78.16
35355,CCC,2014J,5,68.6,0.6,0,64.02083333333333
35355,EEE,2013J,4,83.5,-2.25,0,83.2
35502,DDD,2014B,1,66.0,-11.0,0,66.0
35508,CCC,2014J,5,81.8,3.25,0,81.648
35508,EEE,2014B,4,93.5,-2.0,0,92.84
35544,FFF,2013B,12,87.58333333333333,-36.5,0,82.75
35747,FFF,2014J,1,54.0,0.0,0,54.0
35796,FFF,2014J,1,82.0,-2.0,0,82.0
35812,BBB,2013B,1,71.0,0.0,0,71.0
35860,FFF,2013B,10,83.0,-54.9,0,78.5
36347,FFF,2014B,11,67.45454545454545,-2.4545454545454546,0,72.0
36385,FFF,2013B,5,70.6,-109.2,0,75.0
37298,FFF,2013B,11,84.18181818181819,-29.09090909090909,0,87.33333333333333
37622,BBB,2013J,10,81.9,1.9,0,71.03030303030303
37652,CCC,2014J,5,98.0,3.25,0,99.36
38053,AAA,2013J,5,68.0,2.0,0,66.9
38234,BBB,2013J,7,77.71428571428571,0.5714285714285714,0,71.96774193548387
38711,BBB,2014J,4,38.75,6.75,1,50.15384615384615
38941,BBB,2014B,1,77.0,1.0,0,77.0
39208,BBB,2014J,5,77.4,-1.2,0,71.6
39411,DDD,2013J,1,70.0,0.0,0,70.0
39427,DDD,2013J,1,84.0,0.0,0,84.0
39655,BBB,2013B,11,83.0909090909091,1.0909090909090908,0,82.98
39660,DDD,2014B,4,64.5,-3.25,1,58.0
39882,FFF,2014B,11,78.45454545454545,-66.72727272727273,0,73.0
40184,DDD,2013J,7,93.71428571428571,-18.714285714285715,0,96.5
40419,DDD,2013B,2,71.5,1.0,0,74.10526315789474
40419,DDD,2013J,7,71.57142857142857,-3.4285714285714284,0,69.8625
40563,DDD,2013J,7,71.14285714285714,-3.857142857142857,0,60.3375
40604,CCC,2014B,7,68.28571428571429,2.1666666666666665,1,63.82608695652174
40857,FFF,2014J,1,86.0,0.0,0,86.0
40878,FFF,2014J,12,90.58333333333333,-60.666666666666664,0,88.0
41060,DDD,2013B,11,82.81818181818181,0.9090909090909091,0,80.5
41414,GGG,2014B,9,80.0,-40.0,0,
41547,BBB,2014J,5,61.6,-2.4,1,43.35
42552,FFF,2014J,12,71.0,-56.583333333333336,0,71.75
42616,FFF,2013J,12,80.25,-26.25,0,73.75
42638,CCC,2014B,9,68.66666666666667,0.5,0,62.565
42638,EEE,2013J,4,80.75,-1.75,0,80.48
42668,FFF,2013B,12,78.66666666666667,-20.666666666666668,0,78.75
42746,CCC,2014J,9,95.88888888888889,0.25,0,97.89
42746,FFF,2014B,12,93.58333333333333,-61.333333333333336,0,92.5
42818,DDD,2013J,1,39.0,0.0,1,39.0
43273,FFF,2013B,12,76.0,-7.666666666666667,0,70.75
43284,DDD,2013B,9,71.44444444444444,1.6666666666666667,0,67.0
43430,FFF,2013B,12,86.58333333333333,-69.75,0,94.75
43564,EEE,2013J,4,92.75,-0.75,0,92.6
43958,FFF,2013J,5,75.8,-110.8,1,92.0
43958,FFF,2014J,1,86.0,-20.0,0,86.0
45423,FFF,2014J,12,63.333333333333336,-46.833333333333336,0,52.75
45462,AAA,2013J,5,68.0,0.4,0,67.8
45642,AAA,2013J,5,72.4,2.6,0,72.5
45664,CCC,2014B,3,31.666666666666668,3.6666666666666665,1,42.72222222222222
45664,DDD,2013B,13,56.15384615384615,0.38461538461538464,0,48.36548223350254
46016,DDD,2014J,3,65.0,0.0,0,65.0
46148,FFF,2014B,12,84.75,-23.833333333333332,0,85.25
46605,CCC,2014B,9,93.55555555555556,-0.125,0,95.61
46705,CCC,2014J,7,83.71428571428571,4.285714285714286,1,76.67948717948718
46753,DDD,2014B,6,58.5,6.833333333333333,2,46.59722222222222
46812,DDD,2014J,1,55.0,0.0,0,55.0
46844,AAA,2014J,5,64.8,-0.2,0,66.5
47061,EEE,2014J,4,70.5,0.5,0,70.2
47063,DDD,2013J,4,49.25,2.0,2,50.125
47861,FFF,2014J,12,53.333333333333336,-40.5,2,49.75
47891,BBB,2014J,3,65.66666666666667,0.0,0,45.666666666666664
47924,FFF,2013J,2,41.0,4.0,1,41.0
48040,BBB,2013J,11,77.27272727272727,1.5454545454545454,0,63.6
48152,DDD,2013J,6,52.166666666666664,-3.0,0,49.09722222222222
48503,BBB,2013J,10,76.8,0.5,0,73.60975609756098
48635,CCC,2014J,1,78.0,3.0,0,78.0
48635,FFF,2014B,12,87.16666666666667,-64.75,0,83.25
49119,CCC,2014B,9,88.0,1.5,0,95.705
49119,DDD,2014B,2,71.0,1.0,0,71.22222222222223
49123,GGG,2014B,9,85.11111111111111,-44.44444444444444,0,
50069,BBB,2014B,6,84.83333333333333,2.0,0,77.0
50263,CCC,2014B,2,43.0,2.0,1,57.63636363636363
50263,FFF,2013B,12,82.25,-73.25,0,83.0
50476,DDD,2014B,6,87.66666666666667,-7.666666666666667,0,87.04166666666667
50487,FFF,2013J,12,81.08333333333333,-69.83333333333333,0,83.0
50993,BBB,2013B,9,46.22222222222222,2.111111111111111,4,28.08641975308642
51030,DDD,2014B,6,80.33333333333333,-2.5,0,76.625
51033,DDD,2014J,7,85.42857142857143,-4.166666666666667,0,70.275
51153,DDD,2014J,7,61.714285714285715,-1.0,1,56.25
51163,DDD,2013J,7,70.85714285714286,-3.4285714285714284,0,75.5375
51301,BBB,2013J,1,93.0,-2.0,0,93.0
51485,FFF,2013J,12,91.58333333333333,-4.666666666666667,0,93.0
51576,CCC,2014B,2,71.0,-0.5,0,84.36363636363636
51576,CCC,2014J,2,92.5,-0.5,0,94.72727272727273
51576,FFF,2013J,12,88.83333333333333,-54.416666666666664,0,84.0
51955,DDD,2014J,7,49.714285714285715,0.16666666666666666,1,39.25
52014,DDD,2013B,12,37.333333333333336,1.0833333333333333,7,23.162303664921467
52130,AAA,2013J,5,71.4,1.4,0,71.2
52275,FFF,2014J,1,38.0,6.0,1,38.0
52426,BBB,2014B,5,73.0,0.0,0,59.81395348837209
52702,GGG,2014J,8,86.875,-20.25,0,
52765,AAA,2014J,5,63.0,1.2,0,61.5
52797,BBB,2013J,11,87.54545454545455,2.090909090909091,0,80.43
52899,BBB,2013B,2,76.0,6.5,0,73.33333333333333
52899,BBB,2013J,8,83.25,3.375,0,67.28571428571429
53025,AAA,2013J,5,78.0,-4.6,0,79.0
53136,FFF,2014B,12,74.58333333333333,-60.166666666666664,0,71.0
53166,FFF,2013J,12,70.66666666666667,-42.0,0,65.75
53197,FFF,2013B,1,0.0,0.0,1,0.0
53300,CCC,2014J,9,90.88888888888889,-14.625,0,94.97
53488,DDD,2013B,14,82.07142857142857,0.6428571428571429,0,73.8425
53632,DDD,2014B,4,86.0,0.75,0,85.875
53709,FFF,2013B,7,80.28571428571429,-17.714285714285715,0,76.33333333333333
53709,FFF,2014B,5,75.4,-56.6,0,76.0
54062,CCC,2014J,3,57.0,1.6666666666666667,0,53.44444444444444
54062,EEE,2013J,4,89.0,0.0,0,90.32
54391,CCC,2014B,2,44.5,2.0,1,41.44444444444444
54810,DDD,2014B,2,86.0,0.0,0,85.55555555555556
54810,DDD,2014J,4,55.25,4.666666666666667,0,54.285714285714285
54867,FFF,2014B,1,74.0,-1.0,0,74.0
54882,FFF,2013J,5,45.8,-0.4,2,39.25
55013,FFF,2013J,4,53.25,0.5,1,49.666666666666664
55026,BBB,2013J,9,72.22222222222223,2.111111111111111,0,63.617283950617285
55104,AAA,2014J,5,71.0,-0.2,0,71.3
55419,FFF,2013J,2,78.0,-109.5,0,70.0
55450,FFF,2013B,4,74.25,1.0,0,73.66666666666667
55968,BBB,2014B,6,67.33333333333333,1.5,0,54.22727272727273
56637,FFF,2014J,12,86.75,-59.083333333333336,0,91.75
56667,FFF,2014J,11,67.36363636363636,2.727272727272727,0,65.33333333333333
56789,BBB,2013J,11,76.45454545454545,0.2727272727272727,0,68.93
57079,BBB,2013J,10,74.4,1.1,0,64.51219512195122
57227,DDD,2013J,6,79.0,-3.3333333333333335,0,72.91666666666667
57285,BBB,2014J,5,54.2,-0.6,1,66.2
57340,CCC,2014B,5,70.2,2.0,0,68.984
57506,AAA,2013J,5,74.0,-0.8,0,74.0
57818,DDD,2013J,7,91.57142857142857,-6.714285714285714,0,86.775
57844,FFF,2013J,12,82.08333333333333,-7.916666666666667,0,78.25
58071,AAA,2014J,5,76.0,4.6,0,74.9
58089,BBB,2013B,2,87.5,2.5,0,79.16666666666667
58316,AAA,2014J,5,73.4,2.6,0,72.9
58549,FFF,2013B,12,92.83333333333333,-59.916666666666664,0,93.25
58617,DDD,2014B,6,40.666666666666664,0.8333333333333334,3,38.025
58640,FFF,2013J,12,67.5,-14.25,0,61.75
58653,BBB,2014J,5,55.2,3.0,1,68.1
58731,DDD,2014J,7,56.285714285714285,1.8333333333333333,0,50.125
58873,AAA,2013J,5,73.2,0.4,0,73.7
58884,FFF,2014J,12,89.83333333333333,-57.916666666666664,0,90.75
59185,AAA,2013J,5,78.6,-0.4,0,80.8
59272,BBB,2014J,4,66.25,-4.0,0,66.85
59275,DDD,2013J,4,52.5,0.0,0,50.583333333333336
59370,DDD,2013J,7,64.28571428571429,-3.2857142857142856,0,61.175
59541,CCC,2014B,1,40.0,2.0,0,40.0
59725,BBB,2014B,11,82.63636363636364,-1.3636363636363635,0,84.31
60135,DDD,2013B,12,57.75,-0.5,2,48.970588235294116
60162,GGG,2014J,9,74.22222222222223,-21.0,0,
60405,GGG,2013J,9,88.66666666666667,-39.888888888888886,0,
60416,BBB,2014B,11,83.18181818181819,0.18181818181818182,0,73.2
60519,FFF,2013B,4,72.0,-93.0,0,70.0
60809,CCC,2014J,9,85.66666666666667,1.625,0,68.165
60809,EEE,2014J,4,87.25,-0.5,0,86.8
60830,BBB,2014B,10,82.1,-0.8,0,73.28048780487805
61227,CCC,2014J,4,68.25,3.25,0,65.76
61236,CCC,2014J,1,56.0,3.0,0,56.0
61352,BBB,2014J,1,100.0,-22.0,0,
61911,DDD,2014B,3,83.33333333333333,9.333333333333334,0,83.52631578947368
62034,EEE,2014J,3,79.33333333333333,-1.0,0,77.38888888888889
62155,AAA,2013J,5,76.0,-2.6,0,76.4
62278,CCC,2014B,6,62.166666666666664,1.0,0,64.61428571428571
62487,AAA,2014J,5,71.6,4.2,0,70.6
62631,BBB,2013B,7,80.42857142857143,4.142857142857143,0,70.95161290322581
62975,GGG,2013J,5,86.0,-61.0,0,
63015,DDD,2014J,7,75.14285714285714,-1.5,0,61.25
63044,BBB,2013J,5,64.0,4.4,0,58.95348837209303
63112,EEE,2013J,4,87.0,-1.0,0,86.88
63112,FFF,2014J,3,49.333333333333336,-1.0,0,47.5
63165,AAA,2014J,5,51.4,6.0,0,52.1
63295,FFF,2013J,11,63.09090909090909,-18.363636363636363,1,63.666666666666664
63371,CCC,2014J,9,78.88888888888889,1.375,0,65.005
63400,AAA,2013J,5,71.6,0.0,0,71.2
63467,BBB,2014J,5,62.6,-2.0,1,77.1
63566,DDD,2013J,7,61.714285714285715,-4.428571428571429,1,50.9125
63721,BBB,2014B,10,84.0,1.0,0,83.6829268292683
63827,DDD,2014J,3,78.33333333333333,0.0,0,77.0
63856,DDD,2013J,7,52.142857142857146,-0.7142857142857143,2,39.9625
63949,GGG,2014J,8,86.375,-52.625,0,
64275,BBB,2014B,10,75.1,2.5,1,68.31313131313131
64296,CCC,2014B,2,76.0,1.0,0,86.18181818181819
64296,EEE,2014B,2,97.0,0.0,0,96.45454545454545
64388,FFF,2013J,11,64.0,-71.0,0,58.333333333333336
64427,FFF,2014J,12,88.25,-33.083333333333336,0,84.5
64450,DDD,2014B,7,45.714285714285715,2.857142857142857,2,47.6375
64767,DDD,2014B,4,70.0,1.5,0,69.29166666666667
64901,GGG,2014B,9,71.55555555555556,-21.555555555555557,1,
65002,AAA,2013J,2,67.0,-2.5,0,67.33333333333333
65656,FFF,2013B,12,76.16666666666667,-14.75,1,63.75
66047,DDD,2013J,1,43.0,-9.0,0,43.0
66254,CCC,2014B,6,72.16666666666667,1.0,0,72.01428571428572
66451,FFF,2013J,12,79.0,-4.166666666666667,0,77.5
66579,DDD,2013B,5,68.0,1.0,1,55.54666666666667
66713,EEE,2013J,4,76.5,-0.25,0,75.24
66892,FFF,2014J,1,66.0,8.0,0,66.0
67182,GGG,2013J,9,77.22222222222223,-21.666666666666668,0,
67471,DDD,2013J,7,67.0,-6.142857142857143,0,59.075
67505,DDD,2013J,4,64.25,1.0,1,65.875
67539,EEE,2014J,4,66.0,-0.5,0,64.92
67602,DDD,2013B,14,48.0,1.5714285714285714,3,46.7125
67685,EEE,2014J,4,81.0,-3.0,0,81.72
67781,DDD,2014B,7,75.28571428571429,-3.5714285714285716,0,79.425
67785,DDD,2013B,12,71.58333333333333,0.3333333333333333,1,52.464285714285715
67986,FFF,2014B,2,78.5,-108.5,0,72.0
68011,DDD,2013J,2,81.0,-1.0,0,81.55555555555556
68107,FFF,2013J,12,88.0,-36.25,0,90.5
68208,FFF,2013B,12,56.25,-26.166666666666668,0,55.25
68376,DDD,2013J,6,69.83333333333333,-5.0,0,67.47222222222223
68417,DDD,2014J,7,76.42857142857143,-2.3333333333333335,0,67.025
68556,BBB,2013J,4,57.0,7.75,1,66.4047619047619
69346,FFF,2013J,3,87.66666666666667,-144.66666666666666,0,76.0
69439,FFF,2014J,3,67.66666666666667,-77.0,0,64.0
69491,DDD,2013B,14,66.0,0.42857142857142855,2,56.3775
69494,CCC,2014B,1,0.0,2.0,1,0.0
69494,CCC,2014J,4,15.5,5.25,3,21.46153846153846
69703,CCC,2014B,9,74.55555555555556,1.0,0,77.495
70011,AAA,2014J,5,80.2,-0.2,0,81.3
70214,CCC,2014J,1,33.0,3.0,1,33.0
70214,EEE,2013J,4,48.0,0.0,1,46.8
70381,CCC,2014B,9,75.33333333333333,1.0,0,82.13
70464,AAA,2013J,5,55.6,-4.6,1,53.5
70495,CCC,2014J,9,89.22222222222223,-0.5,0,87.985
70495,FFF,2013J,12,87.5,-63.083333333333336,0,87.75
70537,EEE,2014B,4,80.75,-1.5,0,80.72
70569,BBB,2014J,5,55.8,-5.4,1,68.9
70608,BBB,2013B,11,84.18181818181819,1.7272727272727273,0,77.95
70771,CCC,2014B,1,50.0,2.0,0,50.0
70827,EEE,2014J,1,62.0,5.0,0,62.0
71159,FFF,2014J,12,64.91666666666667,2.9166666666666665,0,57.0
71209,DDD,2013J,7,56.285714285714285,-5.857142857142857,0,50.05
71252,FFF,2013J,12,78.33333333333333,-0.25,0,77.25
71361,AAA,2013J,5,80.4,-0.4,0,79.7
71504,BBB,2014J,5,83.8,-4.2,0,76.9
71578,FFF,2013B,11,74.9090909090909,-25.454545454545453,0,78.0
71676,DDD,2014J,7,60.0,-1.3333333333333333,0,53.375
71723,CCC,2014J,5,63.2,3.6,1,68.9375
71723,DDD,2014B,3,45.666666666666664,2.3333333333333335,1,44.0
72114,FFF,2014B,12,80.58333333333333,-53.416666666666664,0,85.0
72400,BBB,2014B,11,84.81818181818181,1.6363636363636365,0,76.59
72609,CCC,2014J,9,51.0,3.75,3,37.685
72693,FFF,2013B,12,78.08333333333333,-30.333333333333332,0,74.25
72864,FFF,2013J,9,79.66666666666667,-39.0,0,67.66666666666667
73019,DDD,2014J,7,45.0,-0.16666666666666666,3,39.525
73489,BBB,2013J,11,77.72727272727273,0.8181818181818182,0,70.91
73584,BBB,2014J,2,28.0,-8.0,1,55.0
73664,DDD,2014J,2,25.0,4.5,1,15.0
73874,BBB,2014J,3,84.33333333333333,-1.3333333333333333,0,73.66666666666667
74113,FFF,2013B,6,61.666666666666664,-57.333333333333336,1,49.666666666666664
74165,FFF,2014J,12,87.58333333333333,-65.41666666666667,0,81.5
74290,CCC,2014B,1,10.0,2.0,1,10.0
74372,AAA,2013J,4,48.5,1.5,1,46.857142857142854
74502,DDD,2013J,6,63.0,-10.333333333333334,0,59.208333333333336
74521,FFF,2014B,11,77.36363636363636,-25.09090909090909,0,60.57142857142857
74524,FFF,2014B,1,86.0,15.0,0,86.0
74585,BBB,2013J,11,88.81818181818181,-0.45454545454545453,0,87.13
74695,BBB,2013B,10,91.8,1.0,0,91.8780487804878
74734,BBB,2013B,10,83.0,0.4,0,75.41414141414141
75091,AAA,2013J,5,66.0,-0.6,0,65.8
75107,FFF,2014J,12,92.08333333333333,-44.416666666666664,0,93.5
75255,AAA,2014J,5,81.8,2.4,0,83.0
75399,BBB,2013B,10,72.9,1.9,0,62.646341463414636
75427,DDD,2014J,7,66.42857142857143,-1.3333333333333333,0,56.775
75454,CCC,2014B,9,71.66666666666667,1.25,1,70.67
75728,CCC,2014B,2,68.5,2.0,0,67.66666666666667
76081,DDD,2014B,3,69.66666666666667,-0.6666666666666666,0,69.625
76081,DDD,2014J,3,63.666666666666664,-7.0,0,60.833333333333336
76579,EEE,2013J,1,69.0,0.0,0,69.0
76579,EEE,2014J,2,52.5,17.0,0,52.5
76949,CCC,2014J,9,81.77777777777777,3.375,1,82.6
77241,DDD,2013J,3,71.0,9.0,0,40.5625
77367,AAA,2013J,5,70.4,0.8,0,69.5
77692,FFF,2014J,12,87.83333333333333,-11.833333333333334,0,80.25
77744,FFF,2013J,12,83.08333333333333,-61.25,0,82.25
77746,FFF,2013J,1,74.0,0.0,0,74.0
77763,DDD,2013B,14,89.5,1.2857142857142858,0,78.985
77845,FFF,2014B,6,68.33333333333333,-52.166666666666664,0,63.333333333333336
77995,FFF,2014J,11,73.36363636363636,-21.181818181818183,0,70.33333333333333
77998,FFF,2013B,7,75.14285714285714,153.28571428571428,0,61.333333333333336
77998,FFF,2014B,4,77.5,-11.75,0,
78170,DDD,2013J,7,69.14285714285714,-4.142857142857143,0,56.45
78255,BBB,2013J,1,76.0,-2.0,0,76.0
78255,BBB,2014B,2,81.5,2.5,0,64.94736842105263
78645,BBB,2013B,4,73.25,3.5,0,69.97619047619048
79261,FFF,2013J,12,85.0,-12.75,0,82.0
79403,AAA,2014J,3,60.666666666666664,4.333333333333333,0,58.4
79461,CCC,2014B,7,33.714285714285715,2.0,3,36.94871794871795
79610,FFF,2014J,12,76.0,-26.666666666666668,0,85.25
79683,FFF,2014B,2,57.0,0.0,0,57.0
80329,CCC,2014B,1,60.0,2.0,0,60.0
80329,CCC,2014J,8,77.5,5.0,1,68.17171717171718
80329,DDD,2013J,2,55.5,0.0,1,50.72727272727273
80329,DDD,2014J,5,84.8,1.25,0,84.03333333333333
80358,EEE,2014J,3,62.333333333333336,7.666666666666667,0,60.888888888888886
80438,FFF,2014J,11,86.9090909090909,-72.72727272727273,1,62.333333333333336
80448,GGG,2013J,5,73.6,-50.4,0,
80491,CCC,2014J,5,51.8,2.6,2,43.93650793650794
80717,BBB,2013J,11,93.0,-1.0,0,88.09
80745,FFF,2013B,8,80.625,-34.5,0,75.14285714285714
80775,DDD,2014J,7,83.0,-1.5,0,81.275
80868,CCC,2014J,5,78.6,3.25,0,73.84
80868,DDD,2013J,7,72.71428571428571,-4.142857142857143,0,67.2375
80886,FFF,2013B,3,92.33333333333333,-134.33333333333334,0,92.0
81351,DDD,2013B,14,66.85714285714286,1.9285714285714286,2,35.5025
81536,FFF,2013J,2,68.0,-2.0,0,68.0
81754,GGG,2014B,2,84.0,-59.5,0,
82088,DDD,2013J,3,80.33333333333333,1.0,0,80.25
82201,FFF,2014B,2,65.0,8.0,0,65.0
82341,GGG,2013J,7,78.57142857142857,-35.42857142857143,0,
82535,BBB,2013B,11,68.45454545454545,-2.3636363636363638,0,61.45
82556,FFF,2013B,4,78.25,-101.25,0,63.0
82575,CCC,2014B,9,93.66666666666667,1.0,0,96.55
82741,BBB,2013B,11,74.9090909090909,0.8181818181818182,1,64.68
82817,FFF,2013B,9,79.88888888888889,-2.6666666666666665,0,82.0
83219,CCC,2014B,9,67.55555555555556,1.0,1,74.015
83219,EEE,2014B,4,85.5,-0.5,0,84.6
83254,BBB,2013B,11,73.0,3.909090909090909,0,63.13
83453,CCC,2014B,1,30.0,2.0,1,30.0
83553,DDD,2014J,3,61.666666666666664,1.3333333333333333,0,64.0
83603,FFF,2014B,12,78.08333333333333,-4.5,0,65.5
84051,FFF,2013B,3,78.0,0.0,0,74.4
84245,BBB,2013B,10,87.1,-10.6,0,85.77777777777777
84299,CCC,2014B,5,51.0,1.0,1,44.416666666666664
84299,FFF,2014B,12,85.66666666666667,-8.833333333333334,0,84.75
84541,BBB,2014J,2,34.0,0.0,1,67.0
84576,DDD,2014B,7,63.142857142857146,-8.571428571428571,2,71.2
84604,FFF,2014J,12,90.66666666666667,-77.16666666666667,0,88.5
84605,DDD,2013J,3,87.0,2.3333333333333335,0,87.75
84605,DDD,2014B,2,80.5,-2.5,0,77.5
84664,BBB,2013B,10,89.2,1.3,0,78.35365853658537
84812,BBB,2013J,11,89.72727272727273,0.7272727272727273,0,87.76
85092,AAA,2014J,4,58.0,0.25,0,58.0
85144,AAA,2014J,5,77.6,-0.2,0,78.8
85241,FFF,2014J,1,48.0,-2.0,0,48.0
85302,AAA,2014J,5,71.2,0.4,0,71.0
85325,DDD,2013J,1,59.0,3.0,0,59.0
85874,FFF,2014B,4,74.0,-81.5,0,79.0
86047,CCC,2014B,2,24.0,4.0,1,39.27272727272727
86047,DDD,2013B,12,55.25,1.8333333333333333,2,46.746073298429316
86291,BBB,2013B,1,87.0,53.0,0,87.0
86291,BBB,2013J,10,66.1,-0.9,1,57.242105263157896
86538,FFF,2013B,6,68.66666666666667,-59.833333333333336,0,66.0
86669,FFF,2013J,12,84.16666666666667,-69.91666666666667,0,87.5
87107,DDD,2013B,7,68.42857142857143,-1.1428571428571428,0,52.64666666666667
87152,FFF,2013B,12,82.75,-35.333333333333336,0,84.5
87264,FFF,2014J,12,93.75,-49.0,0,91.0
87322,FFF,2014J,11,76.72727272727273,-0.6363636363636364,0,76.0
87431,AAA,2014J,3,50.0,21.0,0,50.0
87732,BBB,2013B,10,78.6,2.7,0,72.6219512195122
