code_module,code_presentation,week_number,final_result,active_students,total_clicks,avg_clicks_per_student
AAA,2013J,19,Fail,23,484,2.933333333333333
AAA,2013J,19,Pass,216,10504,3.4632377184305967
AAA,2013J,19,Withdrawn,16,1089,4.093984962406015
AAA,2013J,20,Distinction,18,2148,3.7421602787456445
AAA,2013J,20,Fail,17,449,3.4015151515151514
AAA,2013J,20,Pass,179,8513,3.311162971606379
AAA,2013J,20,Withdrawn,14,633,3.2797927461139897
AAA,2013J,21,Distinction,18,1681,3.1303538175046555
AAA,2013J,21,Fail,20,515,2.994186046511628
AAA,2013J,21,Pass,195,9471,3.336033814723494
AAA,2013J,21,Withdrawn,16,643,3.6123595505617976
AAA,2013J,22,Distinction,19,1671,3.1001855287569575
AAA,2013J,22,Fail,23,690,3.520408163265306
AAA,2013J,22,Pass,215,9898,3.154238368387508
AAA,2013J,22,Withdrawn,13,1274,4.996078431372549
AAA,2013J,23,Distinction,18,1839,3.7302231237322516
AAA,2013J,23,Fail,21,693,3.2232558139534886
AAA,2013J,23,Pass,223,12792,3.613559322033898
AAA,2013J,23,Withdrawn,18,762,3.1618257261410787
AAA,2013J,24,Distinction,20,2373,3.7726550079491257
AAA,2013J,24,Fail,28,940,3.122923588039867
AAA,2013J,24,Pass,232,14774,3.4494513191688068
AAA,2013J,24,Withdrawn,13,1076,3.7754385964912283
AAA,2013J,25,Distinction,20,2321,3.707667731629393
AAA,2013J,25,Fail,23,617,3.0097560975609756
AAA,2013J,25,Pass,207,12202,3.4371830985915492
AAA,2013J,25,Withdrawn,9,518,3.8947368421052633
AAA,2013J,26,Distinction,19,2222,3.850953206239168
AAA,2013J,26,Fail,16,472,3.1466666666666665
AAA,2013J,26,Pass,210,11181,3.6207901554404147
AAA,2013J,26,Withdrawn,9,287,3.0531914893617023
AAA,2013J,27,Distinction,19,2101,3.388709677419355
AAA,2013J,27,Fail,14,592,4.258992805755396
AAA,2013J,27,Pass,200,8962,3.1478749560941344
AAA,2013J,27,Withdrawn,9,403,3.80188679245283
AAA,2013J,28,Distinction,16,1233,3.0902255639097747
AAA,2013J,28,Fail,13,334,2.7154471544715446
AAA,2013J,28,Pass,187,8805,3.4421422986708365
AAA,2013J,28,Withdrawn,5,98,3.161290322580645
AAA,2013J,29,Distinction,18,1313,2.9572072072072073
AAA,2013J,29,Fail,15,487,2.8816568047337277
AAA,2013J,29,Pass,203,8710,2.8698517298187807
AAA,2013J,29,Withdrawn,3,22,2.0
AAA,2013J,30,Distinction,19,1502,2.7014388489208634
AAA,2013J,30,Fail,23,478,2.320388349514563
AAA,2013J,30,Pass,233,10580,2.6091245376078915
AAA,2013J,30,Withdrawn,3,250,3.5714285714285716
AAA,2013J,31,Distinction,20,1891,3.040192926045016
AAA,2013J,31,Fail,23,689,2.609848484848485
AAA,2013J,31,Pass,243,15596,3.0767409745511936
AAA,2013J,31,Withdrawn,3,471,3.7983870967741935
AAA,2013J,32,Distinction,20,2448,4.689655172413793
AAA,2013J,32,Fail,11,187,2.3375
AAA,2013J,32,Pass,205,12793,3.549667036625971
AAA,2013J,32,Withdrawn,1,306,8.27027027027027
AAA,2013J,33,Distinction,19,2184,3.8586572438162543
AAA,2013J,33,Fail,12,417,2.6903225806451614
AAA,2013J,33,Pass,214,12153,3.530796048808832
AAA,2013J,33,Withdrawn,1,247,4.8431372549019605
AAA,2013J,34,Distinction,17,1584,3.6581986143187066
AAA,2013J,34,Fail,12,616,3.019607843137255
AAA,2013J,34,Pass,199,11739,3.4035952449985505
AAA,2013J,34,Withdrawn,2,217,4.520833333333333
AAA,2013J,35,Distinction,20,2077,3.978927203065134
AAA,2013J,35,Fail,17,495,2.7808988764044944
AAA,2013J,35,Pass,238,15768,3.5063375583722483
AAA,2013J,35,Withdrawn,1,96,5.333333333333333
AAA,2013J,36,Distinction,15,298,2.2406015037593985
AAA,2013J,36,Fail,4,42,2.625
AAA,2013J,36,Pass,107,2120,2.7284427284427286
AAA,2013J,37,Distinction,13,93,1.9375
AAA,2013J,37,Fail,5,6,1.2
AAA,2013J,37,Pass,90,846,2.1804123711340204
AAA,2013J,37,Withdrawn,1,3,1.0
AAA,2013J,38,Distinction,14,84,1.4736842105263157
AAA,2013J,38,Fail,3,16,2.6666666666666665
AAA,2013J,38,Pass,96,698,2.215873015873016
AAA,2013J,39,Distinction,10,19,1.3571428571428572
AAA,2013J,39,Fail,1,1,1.0
AAA,2013J,39,Pass,48,154,1.6041666666666667
AAA,2014J,-2,Distinction,20,2364,4.599221789883268
AAA,2014J,-2,Fail,18,847,3.903225806451613
AAA,2014J,-2,Pass,162,14050,4.344465058750773
AAA,2014J,-2,Withdrawn,35,2237,3.715946843853821
AAA,2014J,-1,Distinction,21,1880,5.108695652173913
AAA,2014J,-1,Fail,28,940,3.275261324041812
AAA,2014J,-1,Pass,154,9337,4.215349887133183
AAA,2014J,-1,Withdrawn,35,2636,4.184126984126984
AAA,2014J,0,Distinction,24,4029,5.273560209424084
AAA,2014J,0,Fail,36,2561,3.7828655834564255
AAA,2014J,0,Pass,201,21624,4.370250606305578
AAA,2014J,0,Withdrawn,48,5366,4.617900172117039
AAA,2014J,1,Distinction,21,3369,4.319230769230769
AAA,2014J,1,Fail,34,1633,3.511827956989247
AAA,2014J,1,Pass,205,20371,3.774504354270891
AAA,2014J,1,Withdrawn,49,5205,3.852701702442635
AAA,2014J,2,Distinction,22,3426,4.172959805115712
AAA,2014J,2,Fail,38,1523,3.159751037344398
AAA,2014J,2,Pass,208,21492,3.763922942206655
AAA,2014J,2,Withdrawn,44,4347,3.7636363636363637
AAA,2014J,3,Distinction,23,3858,4.325112107623318
AAA,2014J,3,Fail,38,2701,3.440764331210191
AAA,2014J,3,Pass,221,25975,4.177388227725957
AAA,2014J,3,Withdrawn,47,5809,4.318959107806691
AAA,2014J,4,Distinction,22,2480,4.343257443082312
AAA,2014J,4,Fail,25,665,3.1220657276995305
AAA,2014J,4,Pass,191,15175,3.782402791625125
AAA,2014J,4,Withdrawn,40,3251,3.780232558139535
AAA,2014J,5,Distinction,23,2966,4.656200941915228
AAA,2014J,5,Fail,29,928,3.135135135135135
AAA,2014J,5,Pass,192,14513,3.8846359743040684
AAA,2014J,5,Withdrawn,37,3313,4.130922693266833
AAA,2014J,6,Distinction,23,2447,4.031301482701812
AAA,2014J,6,Fail,27,697,3.5025125628140703
AAA,2014J,6,Pass,191,12638,3.420297699594046
AAA,2014J,6,Withdrawn,41,2350,3.7360890302066774
AAA,2014J,7,Distinction,23,2613,3.8653846153846154
AAA,2014J,7,Fail,27,839,2.9964285714285714
AAA,2014J,7,Pass,199,13271,3.27679012345679
AAA,2014J,7,Withdrawn,36,2447,3.6038291605301915
AAA,2014J,8,Distinction,24,2589,3.7091690544412605
AAA,2014J,8,Fail,35,874,2.49002849002849
AAA,2014J,8,Pass,209,15596,3.3154761904761907
AAA,2014J,8,Withdrawn,37,2088,3.4173486088379708
AAA,2014J,9,Distinction,22,1689,3.8126410835214446
AAA,2014J,9,Fail,25,657,2.442379182156134
AAA,2014J,9,Pass,163,8247,3.2882775119617227
AAA,2014J,9,Withdrawn,26,1182,3.2295081967213113
AAA,2014J,10,Distinction,22,1588,4.103359173126615
AAA,2014J,10,Fail,20,181,1.925531914893617
AAA,2014J,10,Pass,168,7024,2.932776617954071
AAA,2014J,10,Withdrawn,24,870,2.880794701986755
AAA,2014J,11,Distinction,16,1792,4.266666666666667
AAA,2014J,11,Fail,18,613,2.9902439024390244
AAA,2014J,11,Pass,144,6162,3.2177545691906007
AAA,2014J,11,Withdrawn,19,971,3.395104895104895
AAA,2014J,12,Distinction,16,1060,4.472573839662447
AAA,2014J,12,Fail,8,190,3.7254901960784315
AAA,2014J,12,Pass,116,4090,3.4987168520102654
AAA,2014J,12,Withdrawn,15,506,3.3289473684210527
AAA,2014J,13,Distinction,19,1419,3.9971830985915493
AAA,2014J,13,Fail,18,272,2.893617021276596
AAA,2014J,13,Pass,150,6825,3.8537549407114624
AAA,2014J,13,Withdrawn,14,377,2.5821917808219177
AAA,2014J,14,Distinction,20,1842,4.075221238938053
AAA,2014J,14,Fail,24,506,2.976470588235294
AAA,2014J,14,Pass,175,9196,3.5059092642012963
AAA,2014J,14,Withdrawn,22,892,3.525691699604743
AAA,2014J,15,Distinction,21,1727,3.597916666666667
AAA,2014J,15,Fail,23,624,3.216494845360825
AAA,2014J,15,Pass,177,10111,3.443801089918256
AAA,2014J,15,Withdrawn,18,832,3.0254545454545454
AAA,2014J,16,Distinction,23,2042,3.607773851590106
AAA,2014J,16,Fail,20,829,3.4398340248962658
AAA,2014J,16,Pass,198,11375,3.0710043196544277
AAA,2014J,16,Withdrawn,20,794,3.0656370656370657
AAA,2014J,17,Distinction,22,2524,3.8300455235204858
AAA,2014J,17,Fail,30,1017,2.7412398921832883
AAA,2014J,17,Pass,217,13022,3.1168022977501195
AAA,2014J,17,Withdrawn,20,1254,3.6559766763848396
AAA,2014J,18,Distinction,21,2076,3.9243856332703215
AAA,2014J,18,Fail,20,304,2.3206106870229006
AAA,2014J,18,Pass,175,9234,3.296679757229561
AAA,2014J,18,Withdrawn,18,763,3.331877729257642
AAA,2014J,19,Distinction,22,2553,4.137763371150729
AAA,2014J,19,Fail,17,216,2.541176470588235
AAA,2014J,19,Pass,182,9576,3.3032080027595723
AAA,2014J,19,Withdrawn,18,723,2.951020408163265
AAA,2014J,20,Distinction,22,2915,5.489642184557439
AAA,2014J,20,Fail,15,404,3.2063492063492065
AAA,2014J,20,Pass,167,10417,3.911753661284266
AAA,2014J,20,Withdrawn,17,1076,4.014925373134329
AAA,2014J,21,Distinction,21,2384,4.257142857142857
AAA,2014J,21,Fail,15,470,3.051948051948052
AAA,2014J,21,Pass,166,9361,3.615681730397837
AAA,2014J,21,Withdrawn,15,513,3.186335403726708
AAA,2014J,22,Distinction,20,1751,3.316287878787879
AAA,2014J,22,Fail,15,347,2.9913793103448274
AAA,2014J,22,Pass,169,8582,3.386740331491713
AAA,2014J,22,Withdrawn,13,450,3.061224489795918
AAA,2014J,23,Distinction,21,1754,3.3537284894837476
AAA,2014J,23,Fail,18,408,2.8732394366197185
AAA,2014J,23,Pass,185,8424,2.877049180327869
AAA,2014J,23,Withdrawn,16,529,3.1488095238095237
AAA,2014J,24,Distinction,23,2137,3.68448275862069
AAA,2014J,24,Fail,22,635,2.4236641221374047
AAA,2014J,24,Pass,211,10578,2.8420204191295
AAA,2014J,24,Withdrawn,16,726,3.27027027027027
AAA,2014J,25,Distinction,23,1736,3.458167330677291
AAA,2014J,25,Fail,23,414,2.393063583815029
AAA,2014J,25,Pass,177,8334,3.3309352517985613
AAA,2014J,25,Withdrawn,12,367,2.7388059701492535
AAA,2014J,26,Distinction,21,1729,3.55761316872428
AAA,2014J,26,Fail,14,243,2.4545454545454546
AAA,2014J,26,Pass,171,7668,3.2966466036113498
AAA,2014J,26,Withdrawn,9,396,2.955223880597015
AAA,2014J,27,Distinction,20,1646,3.715575620767494
AAA,2014J,27,Fail,14,215,2.3118279569892475
AAA,2014J,27,Pass,167,6176,3.086456771614193
AAA,2014J,27,Withdrawn,7,293,3.7088607594936707
AAA,2014J,28,Distinction,21,1358,3.158139534883721
AAA,2014J,28,Fail,14,189,2.0543478260869565
AAA,2014J,28,Pass,160,6763,2.991154356479434
AAA,2014J,28,Withdrawn,8,94,2.088888888888889
AAA,2014J,29,Distinction,19,1329,3.1051401869158877
AAA,2014J,29,Fail,13,267,2.1885245901639343
AAA,2014J,29,Pass,179,6303,2.7005141388174807
AAA,2014J,29,Withdrawn,7,165,2.462686567164179
AAA,2014J,30,Distinction,21,1801,3.2103386809269163
AAA,2014J,30,Fail,18,385,2.40625
AAA,2014J,30,Pass,191,8134,2.5450563204005006
AAA,2014J,30,Withdrawn,8,423,2.8972602739726026
AAA,2014J,31,Distinction,22,1693,2.8841567291311754
AAA,2014J,31,Fail,20,756,2.4705882352941178
AAA,2014J,31,Pass,218,11397,2.7702965483714146
AAA,2014J,31,Withdrawn,6,240,2.4242424242424243
AAA,2014J,32,Distinction,20,1864,3.2874779541446206
AAA,2014J,32,Fail,13,278,2.6226415094339623
AAA,2014J,32,Pass,179,10556,3.2731782945736434
AAA,2014J,32,Withdrawn,5,57,1.9655172413793103
AAA,2014J,33,Distinction,21,3310,4.668547249647391
AAA,2014J,33,Fail,15,424,3.050359712230216
AAA,2014J,33,Pass,182,10372,3.178669935642047
AAA,2014J,33,Withdrawn,6,60,2.727272727272727
AAA,2014J,34,Distinction,20,3412,4.5132275132275135
AAA,2014J,34,Fail,16,325,2.8017241379310347
AAA,2014J,34,Pass,176,12024,3.957867017774852
AAA,2014J,34,Withdrawn,3,32,2.0
AAA,2014J,35,Distinction,24,3642,4.598484848484849
AAA,2014J,35,Fail,20,807,3.103846153846154
AAA,2014J,35,Pass,200,14747,3.924161788185205
AAA,2014J,35,Withdrawn,2,3,1.0
AAA,2014J,36,Distinction,15,230,2.149532710280374
AAA,2014J,36,Fail,7,44,1.6296296296296295
AAA,2014J,36,Pass,100,1085,1.9375
AAA,2014J,37,Distinction,9,46,1.84
AAA,2014J,37,Fail,5,31,2.3846153846153846
AAA,2014J,37,Pass,85,514,1.7724137931034483
AAA,2014J,38,Distinction,14,96,1.8823529411764706
AAA,2014J,38,Fail,10,39,1.7727272727272727
AAA,2014J,38,Pass,83,435,1.6051660516605166
AAA,2014J,39,Distinction,8,49,2.0416666666666665
AAA,2014J,39,Fail,3,4,1.0
AAA,2014J,39,Pass,59,230,1.5436241610738255
BBB,2013B,0,Distinction,143,11864,3.25576289791438
BBB,2013B,0,Fail,265,14988,3.415679124886053
BBB,2013B,0,Pass,517,34552,3.1968911917098444
BBB,2013B,0,Withdrawn,217,12108,3.301881647122989
BBB,2013B,1,Distinction,146,14550,3.727901614142967
BBB,2013B,1,Fail,316,17821,3.277726687511495
BBB,2013B,1,Pass,563,42504,3.4430133657351156
BBB,2013B,1,Withdrawn,227,15289,3.5630389186669773
BBB,2013B,2,Distinction,144,11106,3.7469635627530367
BBB,2013B,2,Fail,283,11196,3.081750619322874
BBB,2013B,2,Pass,570,37082,3.356444605358436
BBB,2013B,2,Withdrawn,216,10963,3.3261529126213594
BBB,2013B,3,Distinction,152,11924,3.680246913580247
BBB,2013B,3,Fail,336,17674,3.2087872185911404
BBB,2013B,3,Pass,615,41092,3.43205545811409
BBB,2013B,3,Withdrawn,220,13145,3.497871208089409
BBB,2013B,4,Distinction,142,10176,4.211920529801325
BBB,2013B,4,Fail,281,11978,3.4125356125356126
BBB,2013B,4,Pass,554,27777,3.230259332480521
BBB,2013B,4,Withdrawn,182,9131,3.475827940616673
BBB,2013B,5,Distinction,138,10627,3.7079553384508026
BBB,2013B,5,Fail,247,10906,3.353628536285363
BBB,2013B,5,Pass,564,30809,3.2993146284000856
BBB,2013B,5,Withdrawn,167,8546,3.294525828835775
BBB,2013B,6,Distinction,144,10528,4.021390374331551
BBB,2013B,6,Fail,220,8397,3.2698598130841123
BBB,2013B,6,Pass,556,30026,3.4532489936745256
BBB,2013B,6,Withdrawn,150,6084,3.290427257977285
BBB,2013B,7,Distinction,146,11283,4.23695080736012
BBB,2013B,7,Fail,266,13150,3.5521339816315507
BBB,2013B,7,Pass,590,37178,3.679897060279125
BBB,2013B,7,Withdrawn,165,8730,3.705432937181664
BBB,2013B,8,Distinction,139,8938,3.5384006334125098
BBB,2013B,8,Fail,227,11215,3.295621510431972
BBB,2013B,8,Pass,558,29537,3.344694825048126
BBB,2013B,8,Withdrawn,130,6622,3.6146288209606987
BBB,2013B,9,Distinction,130,5702,3.1572535991140644
BBB,2013B,9,Fail,176,5470,3.297166968053044
BBB,2013B,9,Pass,489,19155,3.2242046793469115
BBB,2013B,9,Withdrawn,110,4096,3.500854700854701
BBB,2013B,10,Distinction,132,5073,2.9964559952746606
BBB,2013B,10,Fail,167,4194,2.5204326923076925
BBB,2013B,10,Pass,496,16520,3.015148749771856
BBB,2013B,10,Withdrawn,95,2684,3.261239368165249
BBB,2013B,11,Distinction,131,7134,3.199103139013453
BBB,2013B,11,Fail,154,4948,2.7367256637168142
BBB,2013B,11,Pass,477,19563,3.049096009975062
BBB,2013B,11,Withdrawn,89,3126,3.0981169474727452
BBB,2013B,12,Distinction,131,8156,3.6524854455888938
BBB,2013B,12,Fail,168,4247,2.58805606337599
BBB,2013B,12,Pass,505,24337,3.347592847317744
BBB,2013B,12,Withdrawn,77,2479,3.1904761904761907
BBB,2013B,13,Distinction,149,8552,3.8059635068980864
BBB,2013B,13,Fail,211,6945,2.824318828792192
BBB,2013B,13,Pass,601,29727,3.398536641134103
BBB,2013B,13,Withdrawn,93,4493,3.5715421303656596
BBB,2013B,14,Distinction,129,6670,3.789772727272727
BBB,2013B,14,Fail,140,3150,2.782685512367491
BBB,2013B,14,Pass,469,18462,3.3234923492349235
BBB,2013B,14,Withdrawn,67,2310,3.6320754716981134
BBB,2013B,15,Distinction,129,7091,3.6721905748316934
BBB,2013B,15,Fail,141,3488,2.727130570758405
BBB,2013B,15,Pass,462,18567,3.1760177899418407
BBB,2013B,15,Withdrawn,57,2126,3.291021671826625
BBB,2013B,16,Distinction,119,6391,3.913655848132272
BBB,2013B,16,Fail,116,2157,2.659679408138101
BBB,2013B,16,Pass,429,16456,3.3447154471544716
BBB,2013B,16,Withdrawn,45,1373,3.792817679558011
BBB,2013B,17,Distinction,125,6448,3.5545755237045205
BBB,2013B,17,Fail,109,2600,2.9612756264236904
BBB,2013B,17,Pass,451,17203,3.310178949393881
BBB,2013B,17,Withdrawn,41,1382,3.5710594315245476
BBB,2013B,18,Distinction,145,7258,3.514769975786925
BBB,2013B,18,Fail,168,5606,2.842799188640974
BBB,2013B,18,Pass,561,22364,3.1454289732770744
BBB,2013B,18,Withdrawn,58,2239,3.114047287899861
BBB,2013B,19,Distinction,131,6099,3.70985401459854
BBB,2013B,19,Fail,118,2102,2.7017994858611827
BBB,2013B,19,Pass,472,13852,3.133227776521149
BBB,2013B,19,Withdrawn,46,1177,3.1055408970976255
BBB,2013B,20,Distinction,118,5359,3.240024183796856
BBB,2013B,20,Fail,92,2466,2.8054607508532423
BBB,2013B,20,Pass,431,13665,2.995396755808856
BBB,2013B,20,Withdrawn,34,1178,3.1164021164021163
BBB,2013B,21,Distinction,121,5797,3.4383155397390275
BBB,2013B,21,Fail,79,1913,2.7485632183908044
BBB,2013B,21,Pass,408,12614,3.0417169037858693
BBB,2013B,21,Withdrawn,27,1026,3.386138613861386
BBB,2013B,22,Distinction,128,7275,3.9049919484702094
BBB,2013B,22,Fail,88,2618,3.188794153471376
BBB,2013B,22,Pass,416,16647,3.4935991605456453
BBB,2013B,22,Withdrawn,22,706,3.2534562211981566
BBB,2013B,23,Distinction,146,8442,3.6929133858267718
BBB,2013B,23,Fail,129,4463,2.8664097623635194
BBB,2013B,23,Pass,589,26758,3.256419617865401
BBB,2013B,23,Withdrawn,33,1260,3.2061068702290076
BBB,2013B,24,Distinction,119,5584,3.178144564598748
BBB,2013B,24,Fail,84,1884,2.8373493975903616
BBB,2013B,24,Pass,427,13169,2.8442764578833692
BBB,2013B,24,Withdrawn,26,722,3.0987124463519313
BBB,2013B,25,Distinction,119,3977,2.8185683912119064
BBB,2013B,25,Fail,70,1437,2.99375
BBB,2013B,25,Pass,430,12167,2.6432761242667824
BBB,2013B,25,Withdrawn,13,263,2.2869565217391306
BBB,2013B,26,Distinction,124,5752,3.330631152287203
BBB,2013B,26,Fail,72,1257,2.607883817427386
BBB,2013B,26,Pass,447,15037,2.9629556650246305
BBB,2013B,26,Withdrawn,15,239,2.298076923076923
BBB,2013B,27,Distinction,140,6736,3.456131349409954
BBB,2013B,27,Fail,111,3784,3.0540758676351896
BBB,2013B,27,Pass,532,21367,3.074388489208633
BBB,2013B,27,Withdrawn,18,641,2.6487603305785123
BBB,2013B,28,Distinction,116,4839,3.5502567865003667
BBB,2013B,28,Fail,63,1133,2.580865603644647
BBB,2013B,28,Pass,389,12742,3.207148250692172
BBB,2013B,28,Withdrawn,12,212,2.4941176470588236
BBB,2013B,29,Distinction,110,4978,3.583873290136789
BBB,2013B,29,Fail,53,951,2.6416666666666666
BBB,2013B,29,Pass,368,12549,3.2326120556414217
BBB,2013B,29,Withdrawn,9,111,2.018181818181818
BBB,2013B,30,Distinction,96,4818,3.576837416481069
BBB,2013B,30,Fail,46,742,2.473333333333333
BBB,2013B,30,Pass,326,12898,3.5619994476663903
BBB,2013B,30,Withdrawn,10,141,2.35
BBB,2013B,31,Distinction,112,6026,3.5405405405405403
BBB,2013B,31,Fail,51,1069,2.4295454545454547
BBB,2013B,31,Pass,383,14816,3.2757019677205395
BBB,2013B,31,Withdrawn,5,100,2.0833333333333335
BBB,2013B,32,Distinction,121,7978,4.364332603938731
BBB,2013B,32,Fail,53,1001,2.7349726775956285
BBB,2013B,32,Pass,431,22903,3.657457681251996
BBB,2013B,32,Withdrawn,5,404,3.7757009345794392
BBB,2013B,33,Distinction,126,8857,4.743974290305303
BBB,2013B,33,Fail,77,2326,3.0605263157894735
BBB,2013B,33,Pass,522,26686,4.087302802879461
BBB,2013B,33,Withdrawn,3,224,3.4461538461538463
BBB,2013B,34,Distinction,80,2607,3.833823529411765
BBB,2013B,34,Fail,33,347,2.3767123287671232
BBB,2013B,34,Pass,298,5983,3.124281984334204
BBB,2013B,34,Withdrawn,1,33,1.434782608695652
BBB,2013B,35,Distinction,39,474,3.0980392156862746
BBB,2013B,35,Fail,13,62,2.2142857142857144
BBB,2013B,35,Pass,126,1030,2.5183374083129584
BBB,2013J,-2,Pass,1,11,1.2222222222222223
BBB,2013J,0,Distinction,153,11188,3.702183984116479
BBB,2013J,0,Fail,304,10858,2.679003207500617
BBB,2013J,0,Pass,696,38646,3.3064681724845997
BBB,2013J,0,Withdrawn,238,11369,3.0398395721925136
BBB,2013J,1,Distinction,149,10735,3.2121484141232797
BBB,2013J,1,Fail,320,11480,2.5815156285136047
BBB,2013J,1,Pass,689,45715,3.5006508921050616
BBB,2013J,1,Withdrawn,210,9636,3.1093901258470473
BBB,2013J,2,Distinction,158,9422,3.1490641711229945
BBB,2013J,2,Fail,283,10719,2.965965688987272
BBB,2013J,2,Pass,709,40001,3.4579011065006915
BBB,2013J,2,Withdrawn,192,7897,3.1275247524752476
BBB,2013J,3,Distinction,160,9590,3.4335839598997495
BBB,2013J,3,Fail,343,12418,2.9552594002855783
BBB,2013J,3,Pass,773,38940,3.49488422186322
BBB,2013J,3,Withdrawn,203,8194,3.0689138576779027
BBB,2013J,4,Distinction,149,6721,3.0384267631103072
BBB,2013J,4,Fail,267,7255,2.89274322169059
BBB,2013J,4,Pass,698,28834,3.4318019519162104
BBB,2013J,4,Withdrawn,148,4789,2.9690018598884067
BBB,2013J,5,Distinction,154,9278,3.3064861012116893
BBB,2013J,5,Fail,264,8863,3.1185784658691063
BBB,2013J,5,Pass,715,37118,3.4378067981846807
BBB,2013J,5,Withdrawn,146,5544,3.1216216216216215
BBB,2013J,6,Distinction,156,8463,3.172038980509745
BBB,2013J,6,Fail,229,6908,2.81844145246838
BBB,2013J,6,Pass,678,31098,3.293930727677153
BBB,2013J,6,Withdrawn,122,4928,3.4056668970283344
BBB,2013J,7,Distinction,166,9016,3.3404964801778436
BBB,2013J,7,Fail,291,9177,2.9385206532180597
BBB,2013J,7,Pass,783,40724,3.501031636863824
